1,2020-01-29 16:20:57,2102,2873
1,2004-06-15 05:36:37,4409,9374
1,2017-02-19 02:25:37,3244,9517
1,2005-08-28 06:04:59,3652,4576
1,1992-09-21 16:39:31,3394,1266
1,2000-02-27 06:39:00,3967,1493
1,2008-09-28 11:20:46,2497,9071
1,2007-11-18 11:18:07,2565,5775
1,2020-10-10 19:01:16,2584,1332
2,2018-01-06 06:45:24,4231,8639
2,2019-08-01 14:59:26,873,5510
2,2001-09-01 00:15:52,3666,7833
2,2007-07-25 12:17:59,3807,6107
2,2020-09-22 14:01:25,3675,3233
3,2011-03-13 14:11:33,1763,2162
3,1998-10-12 06:48:12,4053,1273
3,2008-07-08 14:26:27,48,1576
3,1996-02-01 09:43:24,207,1413
3,2000-12-08 03:08:02,1993,7810
3,1996-02-07 06:31:29,2558,8971
3,2017-01-23 09:06:28,1021,6589
3,1994-07-29 02:05:51,2606,2059
3,2012-05-21 09:27:33,1116,66
3,2018-07-19 04:49:34,3162,6828
3,1999-11-14 18:08:51,2765,9372
3,2021-04-24 20:12:40,4527,2699
4,2020-11-29 08:36:52,7067,3775
5,2015-05-05 03:32:14,978,4550
5,2018-11-30 14:25:33,124,3030
5,2011-10-29 18:00:23,2187,1170
5,1996-05-06 22:40:00,4988,3891
5,2001-11-24 22:50:20,2950,8568
5,1994-09-15 23:02:09,4081,6608
5,2021-02-13 23:17:11,6007,3129
6,1993-11-09 00:15:30,2023,2946
6,2020-04-13 21:25:15,3279,8295
6,2021-01-27 03:57:14,2911,3861
7,2002-08-01 02:52:45,3026,1352
7,2007-05-31 03:46:19,3128,8415
7,2010-05-24 16:39:25,3283,9849
7,1994-10-10 01:01:39,2128,416
7,2003-05-21 08:05:43,4008,3298
7,2006-02-13 06:30:54,487,9264
7,2002-02-08 03:03:39,3006,6551
7,2012-02-18 09:51:32,2525,1192
7,2013-02-19 11:26:29,4353,9230
7,1998-04-21 17:35:04,5,2197
7,2010-02-23 02:19:35,621,6907
7,2007-07-30 15:25:43,2821,1800
7,2020-10-25 10:57:46,4714,4891
8,2009-01-31 17:30:04,88,6499
8,2000-03-17 20:34:46,1412,5775
8,1993-06-19 13:19:50,1460,6224
8,2018-09-27 02:37:24,3338,2102
8,2010-01-06 13:39:43,4839,4609
8,1991-10-29 01:49:20,4340,657
